"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECACEN21","4934761","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539650536","web","181.135.96.79","\N"
"ECACEN21","4934772","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539650539","web","181.135.96.79","\N"
"ECACEN21","4935144","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539650793","web","181.135.96.79","\N"
"ECACEN21","4935148","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539650797","web","181.135.96.79","\N"
"ECACEN21","4935162","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539650811","web","181.135.96.79","\N"
"ECACEN21","4935168","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539650814","web","181.135.96.79","\N"
"ECACEN21","4935920","\\gradereport_user\\event\\grade_report_viewed","gradereport_user","viewed","grade_report","\N","\N","r","2","155","50","119","512812","119","512812","0","1539651263","web","181.135.96.79","\N"
"ECACEN21","4939897","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539653544","web","181.135.96.79","\N"
"ECACEN21","4939898","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539653545","web","181.135.96.79","\N"
"ECACEN21","4939914","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539653552","web","181.135.96.79","\N"
"ECACEN21","4939919","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539653555","web","181.135.96.79","\N"
"ECACEN21","4939999","\\mod_forum\\event\\assessable_uploaded","mod_forum","uploaded","assessable","forum_posts","195477","c","2","658","70","396","512812","119","\N","0","1539653587","web","181.135.96.79","\N"
"ECACEN21","4940000","\\mod_forum\\event\\post_created","mod_forum","created","post","forum_posts","195477","c","2","658","70","396","512812","119","\N","0","1539653587","web","181.135.96.79","\N"
"ECACEN21","4940005","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539653590","web","181.135.96.79","\N"
"ECACEN21","4982066","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539706774","web","190.29.114.169","\N"
"ECACEN21","4982071","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539706775","web","190.29.114.169","\N"
"ECACEN21","4982084","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539706781","web","190.29.114.169","\N"
"ECACEN21","4982111","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539706791","web","190.29.114.169","\N"
"ECACEN21","4995340","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539716862","web","190.29.114.169","\N"
"ECACEN21","4995343","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539716863","web","190.29.114.169","\N"
"ECACEN21","4995355","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539716872","web","190.29.114.169","\N"
"ECACEN21","4995361","\\mod_assign\\event\\submission_status_viewed","mod_assign","viewed","submission_status","\N","\N","r","0","674","70","412","512812","119","\N","0","1539716877","web","190.29.114.169","\N"
